,precision,recall,f1-score,support
<<<<<<< HEAD
accuracy,0.7296046999956233,0.7296046999956233,0.7296046999956233,0.7296046999956233
macro avg,0.6709730757076309,0.691077595572154,0.6766475741152818,982469.0
weighted avg,0.7314746799228237,0.7296046999956233,0.7298402445036984,982469.0
=======
accuracy,0.7286377483666151,0.7286377483666151,0.7286377483666151,0.7286377483666151
macro avg,0.6675471617711666,0.6917957812796951,0.6751302672187494,982469.0
weighted avg,0.7305215154243695,0.7286377483666151,0.7288623430805542,982469.0
>>>>>>> 095cd869ceead124c900a0b08d5404db993cdb9e
